file-name,description,character-count,code-character-count,code-percentage,number-of-code-blocks
codestral-mamba,"To develop a Python-based GUI application for real-time speech-to-text transcription using the OpenAI Whisper API on OpenSUSE Linux, here is a high-level plan to guide you throughout the development process:",2091,0,0.00,0
cohererplus,Cohere Command R Plus 0824 - Via Hugging Face Chat,7145,6069,84.94,1
deepseek1,"Deep Seek Via Chatbox (Desktop UI), API Integration",7017,4297,61.24,1
deepseek2,DeepSeek Via Online Playground,10105,8820,87.28,8
deepseek3,DeepSeek Coder 7B Instruct - LM Studio,6372,5246,82.33,2
gemini15pro,Gemini 1.5 Pro Via Google AI Studio,7926,6583,83.06,3
gpt35_16k,OpenAI GPT 3.5 16K - Via LibreChat (API Integration),3972,3129,78.78,1
lechat,Le Chat By Mistral,7719,6595,85.44,4
llama318b,Meta Llama 3.1 8B Instruct (Local LM),7321,6279,85.77,2
llama70b,Meta Llama 3.3 70B Instruct (Via Hugging Face Chat),7195,4718,65.57,3
nova-pro-1o-2,Nova Pro 1o Run 2 (Open Router),6568,5536,84.29,5
nova-pro-1o,Nova Pro 1o (Via Open Router web UI),6954,5911,85.00,1
o1preview,o1 Preview (LibreChat - API Integration),13622,11221,82.37,10
phind70b,Phind 70B (Via Site),7678,5474,71.29,6
qwen1,Qwen 2.5 Coder 32B Instruct Via Open Web UI (Via Open Router),13159,10822,82.24,7
qwen2,Qwen 2.5 Coder 32B Instruct Via Hugging Face Chat,13950,12350,88.53,5
qwen3,Qwen 2.5 7B Instruct - LM Studio,6773,5253,77.56,3
qwen72binstruct,Qwen 72B Instruct - Via Hugging Face Chat,12921,10840,83.89,7
sonnet,Claude 3.5 Sonnet Latest - Via LibreChat (API Integration),10007,8705,86.99,2
